Jahr;Bielefeld;Geschlecht;Altersstufe;Einwohner_innen am Ort der Hauptwohnung
2020;Bielefeld insgesamt;maennlich;0;1661
2020;Bielefeld insgesamt;maennlich;1;1764
2020;Bielefeld insgesamt;maennlich;2;1695
2020;Bielefeld insgesamt;maennlich;3;1700
2020;Bielefeld insgesamt;maennlich;4;1647
2020;Bielefeld insgesamt;maennlich;5;1649
2020;Bielefeld insgesamt;maennlich;6;1605
2020;Bielefeld insgesamt;maennlich;7;1598
2020;Bielefeld insgesamt;maennlich;8;1542
2020;Bielefeld insgesamt;maennlich;9;1618
2020;Bielefeld insgesamt;maennlich;10;1633
2020;Bielefeld insgesamt;maennlich;11;1525
2020;Bielefeld insgesamt;maennlich;12;1649
2020;Bielefeld insgesamt;maennlich;13;1621
2020;Bielefeld insgesamt;maennlich;14;1639
2020;Bielefeld insgesamt;maennlich;15;1635
2020;Bielefeld insgesamt;maennlich;16;1713
2020;Bielefeld insgesamt;maennlich;17;1660
2020;Bielefeld insgesamt;maennlich;18;1788
2020;Bielefeld insgesamt;maennlich;19;1785
2020;Bielefeld insgesamt;maennlich;20;2069
2020;Bielefeld insgesamt;maennlich;21;2074
2020;Bielefeld insgesamt;maennlich;22;2243
2020;Bielefeld insgesamt;maennlich;23;2497
2020;Bielefeld insgesamt;maennlich;24;2497
2020;Bielefeld insgesamt;maennlich;25;2408
2020;Bielefeld insgesamt;maennlich;26;2533
2020;Bielefeld insgesamt;maennlich;27;2597
2020;Bielefeld insgesamt;maennlich;28;2591
2020;Bielefeld insgesamt;maennlich;29;2655
2020;Bielefeld insgesamt;maennlich;30;2658
2020;Bielefeld insgesamt;maennlich;31;2567
2020;Bielefeld insgesamt;maennlich;32;2507
2020;Bielefeld insgesamt;maennlich;33;2485
2020;Bielefeld insgesamt;maennlich;34;2348
2020;Bielefeld insgesamt;maennlich;35;2283
2020;Bielefeld insgesamt;maennlich;36;2249
2020;Bielefeld insgesamt;maennlich;37;2134
2020;Bielefeld insgesamt;maennlich;38;2284
2020;Bielefeld insgesamt;maennlich;39;2106
2020;Bielefeld insgesamt;maennlich;40;2151
2020;Bielefeld insgesamt;maennlich;41;1961
2020;Bielefeld insgesamt;maennlich;42;1988
2020;Bielefeld insgesamt;maennlich;43;2083
2020;Bielefeld insgesamt;maennlich;44;2048
2020;Bielefeld insgesamt;maennlich;45;1965
2020;Bielefeld insgesamt;maennlich;46;1954
2020;Bielefeld insgesamt;maennlich;47;2029
2020;Bielefeld insgesamt;maennlich;48;2167
2020;Bielefeld insgesamt;maennlich;49;2274
2020;Bielefeld insgesamt;maennlich;50;2331
2020;Bielefeld insgesamt;maennlich;51;2449
2020;Bielefeld insgesamt;maennlich;52;2548
2020;Bielefeld insgesamt;maennlich;53;2497
2020;Bielefeld insgesamt;maennlich;54;2620
2020;Bielefeld insgesamt;maennlich;55;2603
2020;Bielefeld insgesamt;maennlich;56;2617
2020;Bielefeld insgesamt;maennlich;57;2540
2020;Bielefeld insgesamt;maennlich;58;2381
2020;Bielefeld insgesamt;maennlich;59;2302
2020;Bielefeld insgesamt;maennlich;60;2163
2020;Bielefeld insgesamt;maennlich;61;2101
2020;Bielefeld insgesamt;maennlich;62;2013
2020;Bielefeld insgesamt;maennlich;63;1891
2020;Bielefeld insgesamt;maennlich;64;1857
2020;Bielefeld insgesamt;maennlich;65;1818
2020;Bielefeld insgesamt;maennlich;66;1672
2020;Bielefeld insgesamt;maennlich;67;1577
2020;Bielefeld insgesamt;maennlich;68;1551
2020;Bielefeld insgesamt;maennlich;69;1476
2020;Bielefeld insgesamt;maennlich;70;1420
2020;Bielefeld insgesamt;maennlich;71;1483
2020;Bielefeld insgesamt;maennlich;72;1265
2020;Bielefeld insgesamt;maennlich;73;1174
2020;Bielefeld insgesamt;maennlich;74;1002
2020;Bielefeld insgesamt;maennlich;75;856
2020;Bielefeld insgesamt;maennlich;76;1138
2020;Bielefeld insgesamt;maennlich;77;1125
2020;Bielefeld insgesamt;maennlich;78;1041
2020;Bielefeld insgesamt;maennlich;79;1261
2020;Bielefeld insgesamt;maennlich;80;1206
2020;Bielefeld insgesamt;maennlich;81;1166
2020;Bielefeld insgesamt;maennlich;82;1095
2020;Bielefeld insgesamt;maennlich;83;947
2020;Bielefeld insgesamt;maennlich;84;902
2020;Bielefeld insgesamt;maennlich;85;758
2020;Bielefeld insgesamt;maennlich;86;583
2020;Bielefeld insgesamt;maennlich;87;399
2020;Bielefeld insgesamt;maennlich;88;370
2020;Bielefeld insgesamt;maennlich;89;321
2020;Bielefeld insgesamt;maennlich;90_und_aelter;1085
2020;Bielefeld insgesamt;weiblich;0;1611
2020;Bielefeld insgesamt;weiblich;1;1609
2020;Bielefeld insgesamt;weiblich;2;1698
2020;Bielefeld insgesamt;weiblich;3;1684
2020;Bielefeld insgesamt;weiblich;4;1640
2020;Bielefeld insgesamt;weiblich;5;1527
2020;Bielefeld insgesamt;weiblich;6;1559
2020;Bielefeld insgesamt;weiblich;7;1477
2020;Bielefeld insgesamt;weiblich;8;1575
2020;Bielefeld insgesamt;weiblich;9;1494
2020;Bielefeld insgesamt;weiblich;10;1477
2020;Bielefeld insgesamt;weiblich;11;1505
2020;Bielefeld insgesamt;weiblich;12;1542
2020;Bielefeld insgesamt;weiblich;13;1542
2020;Bielefeld insgesamt;weiblich;14;1519
2020;Bielefeld insgesamt;weiblich;15;1579
2020;Bielefeld insgesamt;weiblich;16;1551
2020;Bielefeld insgesamt;weiblich;17;1577
2020;Bielefeld insgesamt;weiblich;18;1633
2020;Bielefeld insgesamt;weiblich;19;1871
2020;Bielefeld insgesamt;weiblich;20;2129
2020;Bielefeld insgesamt;weiblich;21;2386
2020;Bielefeld insgesamt;weiblich;22;2495
2020;Bielefeld insgesamt;weiblich;23;2623
2020;Bielefeld insgesamt;weiblich;24;2650
2020;Bielefeld insgesamt;weiblich;25;2481
2020;Bielefeld insgesamt;weiblich;26;2508
2020;Bielefeld insgesamt;weiblich;27;2676
2020;Bielefeld insgesamt;weiblich;28;2416
2020;Bielefeld insgesamt;weiblich;29;2373
2020;Bielefeld insgesamt;weiblich;30;2522
2020;Bielefeld insgesamt;weiblich;31;2349
2020;Bielefeld insgesamt;weiblich;32;2424
2020;Bielefeld insgesamt;weiblich;33;2335
2020;Bielefeld insgesamt;weiblich;34;2261
2020;Bielefeld insgesamt;weiblich;35;2170
2020;Bielefeld insgesamt;weiblich;36;2165
2020;Bielefeld insgesamt;weiblich;37;2158
2020;Bielefeld insgesamt;weiblich;38;2264
2020;Bielefeld insgesamt;weiblich;39;2147
2020;Bielefeld insgesamt;weiblich;40;2073
2020;Bielefeld insgesamt;weiblich;41;2096
2020;Bielefeld insgesamt;weiblich;42;2011
2020;Bielefeld insgesamt;weiblich;43;1964
2020;Bielefeld insgesamt;weiblich;44;2038
2020;Bielefeld insgesamt;weiblich;45;1963
2020;Bielefeld insgesamt;weiblich;46;2099
2020;Bielefeld insgesamt;weiblich;47;2066
2020;Bielefeld insgesamt;weiblich;48;2094
2020;Bielefeld insgesamt;weiblich;49;2240
2020;Bielefeld insgesamt;weiblich;50;2266
2020;Bielefeld insgesamt;weiblich;51;2394
2020;Bielefeld insgesamt;weiblich;52;2420
2020;Bielefeld insgesamt;weiblich;53;2484
2020;Bielefeld insgesamt;weiblich;54;2527
2020;Bielefeld insgesamt;weiblich;55;2447
2020;Bielefeld insgesamt;weiblich;56;2536
2020;Bielefeld insgesamt;weiblich;57;2388
2020;Bielefeld insgesamt;weiblich;58;2452
2020;Bielefeld insgesamt;weiblich;59;2376
2020;Bielefeld insgesamt;weiblich;60;2399
2020;Bielefeld insgesamt;weiblich;61;2308
2020;Bielefeld insgesamt;weiblich;62;2089
2020;Bielefeld insgesamt;weiblich;63;2087
2020;Bielefeld insgesamt;weiblich;64;2030
2020;Bielefeld insgesamt;weiblich;65;2017
2020;Bielefeld insgesamt;weiblich;66;1967
2020;Bielefeld insgesamt;weiblich;67;1819
2020;Bielefeld insgesamt;weiblich;68;1758
2020;Bielefeld insgesamt;weiblich;69;1681
2020;Bielefeld insgesamt;weiblich;70;1733
2020;Bielefeld insgesamt;weiblich;71;1715
2020;Bielefeld insgesamt;weiblich;72;1523
2020;Bielefeld insgesamt;weiblich;73;1403
2020;Bielefeld insgesamt;weiblich;74;1230
2020;Bielefeld insgesamt;weiblich;75;1161
2020;Bielefeld insgesamt;weiblich;76;1406
2020;Bielefeld insgesamt;weiblich;77;1384
2020;Bielefeld insgesamt;weiblich;78;1335
2020;Bielefeld insgesamt;weiblich;79;1638
2020;Bielefeld insgesamt;weiblich;80;1770
2020;Bielefeld insgesamt;weiblich;81;1782
2020;Bielefeld insgesamt;weiblich;82;1524
2020;Bielefeld insgesamt;weiblich;83;1484
2020;Bielefeld insgesamt;weiblich;84;1284
2020;Bielefeld insgesamt;weiblich;85;1212
2020;Bielefeld insgesamt;weiblich;86;1060
2020;Bielefeld insgesamt;weiblich;87;779
2020;Bielefeld insgesamt;weiblich;88;691
2020;Bielefeld insgesamt;weiblich;89;654
2020;Bielefeld insgesamt;weiblich;90_und_aelter;2785
2019;Bielefeld insgesamt;maennlich;0;1723
2019;Bielefeld insgesamt;maennlich;1;1718
2019;Bielefeld insgesamt;maennlich;2;1723
2019;Bielefeld insgesamt;maennlich;3;1671
2019;Bielefeld insgesamt;maennlich;4;1669
2019;Bielefeld insgesamt;maennlich;5;1622
2019;Bielefeld insgesamt;maennlich;6;1589
2019;Bielefeld insgesamt;maennlich;7;1533
2019;Bielefeld insgesamt;maennlich;8;1597
2019;Bielefeld insgesamt;maennlich;9;1634
2019;Bielefeld insgesamt;maennlich;10;1521
2019;Bielefeld insgesamt;maennlich;11;1654
2019;Bielefeld insgesamt;maennlich;12;1625
2019;Bielefeld insgesamt;maennlich;13;1626
2019;Bielefeld insgesamt;maennlich;14;1622
2019;Bielefeld insgesamt;maennlich;15;1691
2019;Bielefeld insgesamt;maennlich;16;1647
2019;Bielefeld insgesamt;maennlich;17;1745
2019;Bielefeld insgesamt;maennlich;18;1751
2019;Bielefeld insgesamt;maennlich;19;2016
2019;Bielefeld insgesamt;maennlich;20;2032
2019;Bielefeld insgesamt;maennlich;21;2224
2019;Bielefeld insgesamt;maennlich;22;2466
2019;Bielefeld insgesamt;maennlich;23;2433
2019;Bielefeld insgesamt;maennlich;24;2342
2019;Bielefeld insgesamt;maennlich;25;2472
2019;Bielefeld insgesamt;maennlich;26;2594
2019;Bielefeld insgesamt;maennlich;27;2592
2019;Bielefeld insgesamt;maennlich;28;2672
2019;Bielefeld insgesamt;maennlich;29;2688
2019;Bielefeld insgesamt;maennlich;30;2621
2019;Bielefeld insgesamt;maennlich;31;2571
2019;Bielefeld insgesamt;maennlich;32;2522
2019;Bielefeld insgesamt;maennlich;33;2395
2019;Bielefeld insgesamt;maennlich;34;2312
2019;Bielefeld insgesamt;maennlich;35;2277
2019;Bielefeld insgesamt;maennlich;36;2178
